Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono
28 de jan de 2019 14:50:03,Pedalada no almoço,Pedalada,,1567,"5,73",,,false,,Branquela,85.0,16.0,1567.0,1257.0,5737.0,14.5,,139.6865997314453,146.78700256347656,684.9000244140625,756.7999877929688,20.700000762939453,-0.12375806272029877,,,,,,,,210.08921813964844,294.4512939453125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385.89990234375,,,,,
29 de jan de 2019 08:11:59,Pedalada matutina,Pedalada,,1264,"5,01",,,false,,Branquela,85.0,16.0,1264.0,1046.0,5010.60009765625,12.100000381469727,,110.13420104980469,102.93399810791016,684.9000244140625,717.0,31.899999618530273,0.14369536936283112,,,,,,,,220.78128051757812,257.4946594238281,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3821.89990234375,,,,,
29 de jan de 2019 14:35:25,Pedalada no almoço,Pedalada,,1153,"5,01",,,false,,Branquela,85.0,16.0,1153.0,1028.0,5017.60009765625,14.5,,104.97953033447266,121.68000030517578,683.7000122070312,713.9000244140625,20.299999237060547,-0.33282843232154846,,,,,,,,198.73162841796875,227.79058837890625,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348.300048828125,,,,,
30 de jan de 2019 08:15:04,Pedalada matutina,Pedalada,,1295,"4,89",,,false,,Branquela,85.0,16.0,1295.0,1116.0,4896.2998046875,11.699999809265137,,110.56194305419922,100.26200103759766,685.0,717.0999755859375,40.400001525878906,0.21036292612552643,,,,,,,,203.3979034423828,253.0962677001953,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805.0,,,,,
30 de jan de 2019 16:27:01,Pedalada vespertina,Pedalada,,1576,"5,51",,,false,,Branquela,85.0,16.0,1576.0,1278.0,5514.0,12.699999809265137,,129.8857879638672,140.58599853515625,683.7000122070312,756.7999877929688,23.899999618530273,-0.19405150413513184,,,,,,,,216.3694305419922,308.3193359375,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4564.39990234375,,,,,
31 de jan de 2019 08:17:28,Pedalada matutina,Pedalada,,2260,"5,08",,,false,,Branquela,85.0,16.0,2260.0,1650.0,5081.89990234375,13.600000381469727,,111.9072494506836,102.70700073242188,684.9000244140625,717.0,31.5,0.181034654378891,,,,,,,,189.40496826171875,348.4578552246094,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3871.800048828125,,,,,
1 de fev de 2019 14:44:38,Pedalada no almoço,Pedalada,,2072,"7,12",,,false,,Branquela,85.0,16.0,2072.0,1702.0,7128.7001953125,11.300000190734863,,124.6055908203125,109.20600128173828,678.9000244140625,756.7999877929688,19.600000381469727,0.21602816879749298,,,,,,,,190.0897979736328,360.739501953125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4884.7998046875,,,,,
3 de fev de 2019 07:54:54,Pedalada matutina,Pedalada,,17586,"71,4",,,false,,Branquela,81.0,17.0,17586.0,14192.0,71403.703125,19.600000381469727,,1132.9066162109375,1132.7099609375,676.0999755859375,861.7999877929688,43.400001525878906,0.0002800975344143808,,,,,,,,203.19024658203125,3215.294921875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21448.30078125,,,,,
4 de fev de 2019 18:55:56,Pedalada vespertina,Pedalada,,1737,"5,6",,,false,,Branquela,85.0,16.0,1737.0,1518.0,5604.2001953125,12.0,,131.17987060546875,140.77999877929688,684.0,754.9000244140625,34.900001525878906,-0.17130009829998016,,,,,,,,179.4452362060547,303.7232360839844,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040.60009765625,,,,,
5 de fev de 2019 08:22:34,Pedalada matutina,Pedalada,,1268,"5,06",,,false,,Branquela,85.0,16.0,1268.0,1144.0,5068.7998046875,11.899999618530273,,113.25352478027344,104.35399627685547,684.9000244140625,717.0,33.20000076293945,0.17558395862579346,,,,,,,,222.83155822753906,284.235595703125,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961.10009765625,,,,,
